URL,productImage ,imageBack,Headline,Description ,price,rating
https://www.ikea.com/rs/sr/p/skalsta-sto-svetla-sivobez-ukosnica-crnosiva-s09608287/,https://www.ikea.com/rs/sr/images/products/skalsta-sto-svetla-sivobez-ukosnica-crnosiva__1486609_pe1002467_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/skalsta-sto-svetla-sivobez-ukosnica-crnosiva__1449025_pe989740_s5.jpg?f=xxs,SKÅLSTA,"Sto, svetla sivobež/ukosnica Crnosiva, 140x80 cm",12.999,Pregled: 5 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/fjaellbo-stocic-za-kafu-crna-70335486/,https://www.ikea.com/rs/sr/images/products/fjaellbo-stocic-za-kafu-crna__0475920_pe615876_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/fjaellbo-stocic-za-kafu-crna__0925806_ph163283_s5.jpg?f=xxs,FJÄLLBO,"Stočić za kafu, crna, 90x46 cm",8.999,Pregled: 4.5 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/skalsta-sto-svetla-sivobez-pravo-svetla-sivobez-s59608336/,https://www.ikea.com/rs/sr/images/products/skalsta-sto-svetla-sivobez-pravo-svetla-sivobez__1486611_pe1002469_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/skalsta-sto-svetla-sivobez-pravo-svetla-sivobez__1449022_pe989715_s5.jpg?f=xxs,SKÅLSTA,"Sto, svetla sivobež/pravo svetla sivobež, 140x80 cm",12.999,Pregled: 5 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/ommjaenge-sto-na-rasklapanje-borovina-bajcovano-plava-90594676/,https://www.ikea.com/rs/sr/images/products/ommjaenge-sto-na-rasklapanje-borovina-bajcovano-plava__1419731_pe977100_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/ommjaenge-sto-na-rasklapanje-borovina-bajcovano-plava__1438507_pe984756_s5.jpg?f=xxs,OMMJÄNGE,"Sto na rasklapanje, borovina/bajcovano plava, 134x82 cm",23.999,Pregled: 4.2 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/hauga-sto-bela-brezov-furnir-90576719/,https://www.ikea.com/rs/sr/images/products/hauga-sto-bela-brezov-furnir__1350927_pe951819_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/hauga-sto-bela-brezov-furnir__1375119_pe960177_s5.jpg?f=xxs,HAUGA,"Sto, bela/brezov furnir, 74x74 cm",9.999,Pregled: 4.7 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/skalsta-sto-im-hrastovine-x-oblik-crnosiva-s19590767/,https://www.ikea.com/rs/sr/images/products/skalsta-sto-im-hrastovine-x-oblik-crnosiva__1486618_pe1002476_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/skalsta-sto-im-hrastovine-x-oblik-crnosiva__1449024_pe989716_s5.jpg?f=xxs,SKÅLSTA,"Sto, im. hrastovine/X oblik Crnosiva, 140x80 cm",14.999,Pregled: 4.8 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/aemmaryd-stocic-za-kafu-bela-00609125/,https://www.ikea.com/rs/sr/images/products/aemmaryd-stocic-za-kafu-bela__1447805_pe989265_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/aemmaryd-stocic-za-kafu-bela__1466098_pe995226_s5.jpg?f=xxs,ÄMMARYD,"Stočić za kafu, bela, 98x59 cm",5.999,Pregled: 2.9 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/grimsarbo-pomocni-stocic-borova-sperploca-crna-00589090/,https://www.ikea.com/rs/sr/images/products/grimsarbo-pomocni-stocic-borova-sperploca-crna__1388880_pe965001_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/grimsarbo-pomocni-stocic-borova-sperploca-crna__1411902_pe973315_s5.jpg?f=xxs,GRIMSARBO,"Pomoćni stočić, borova šperploča/crna",3.499,Pregled: 5 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/lisabo-sto-jasenov-furnir-40563776/,https://www.ikea.com/rs/sr/images/products/lisabo-sto-jasenov-furnir__1265110_pe927512_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/lisabo-sto-jasenov-furnir__1470754_pe996931_s5.jpg?f=xxs,LISABO,"Sto, jasenov furnir, 88x78 cm",12.999,Pregled: 4.7 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/vittsjoe-stocic-za-kafu-crnosmeda-staklo-80213309/,https://www.ikea.com/rs/sr/images/products/vittsjoe-stocic-za-kafu-crnosmeda-staklo__0135348_pe292039_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/vittsjoe-stocic-za-kafu-crnosmeda-staklo__1438187_pe984633_s5.jpg?f=xxs,VITTSJÖ,"Stočić za kafu, crnosmeđa/staklo, 75 cm",4.999,Pregled: 4.7 od 5 Zvezdice. Ukupno recenzija:
